,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
67595,pst.000008813718|AnneElizabeth,pst.000008813718,1960,f,"Dos Passos, John,",U.S.A. : | I. The 42nd parallel. II. Nineteen nineteen. III. The big money / | $c: By John Dos Passos.,m,,1960,f,0
50218,uc1.b3727243|Ann,uc1.b3727243,1922,f,"Quick, Herbert,",Vandemark's folly,m,,1922,f,0
55090,mdp.39015008036983|MissBrinklow,mdp.39015008036983,1936,f,"Hilton, James,",Lost horizon.,m,,1936,f,0
3263,15011|Felix,15011,1806,f,"Surr, T. S. (Thomas Skinner),",A winter in London;,m,,1806,f,0
75617,inu.30000123951042|Cora,inu.30000123951042,1983,f,"Peake, Mervyn Laurence,",The Titus books / | $c: Mervyn Peake.,m,,1983,f,0
62229,mdp.39015005224111|Louise,mdp.39015005224111,1956,f,"Hall, James B.",The short story | $c: [by] James B. Hall [and] Joseph Langland.,m,,1956,f,0
15209,10170|Mary,10170,1837,f,"Simms, William Gilmore,","Martin Faber, the story of a criminal;",m,,1837,f,0
39743,10063|Marcella,10063,1893,f,"Gissing, George,",Born in exile,m,,1893,f,0
55612,mdp.39015015345435|Nelson,mdp.39015015345435,1934,f,"Edmonds, Walter Dumaux,","Mostly canallers; | $c: collected stories,",m,,1934,f,0
62482,uc1.b3541062|MadeleineSmith,uc1.b3541062,1951,f,"Bond, Raymond Tostevin,","Handbook for poisoners, | a collection of famous poison stories; selected, with an introd. on poisons.",m,,1951,f,0
62910,mdp.39015072138087|Lily,mdp.39015072138087,1952,f,"Cronin, A. J. (Archibald Joseph),",Adventures in two worlds / | $c: A.J. Cronin.,m,,1952,f,0
79699,mdp.39015034253990|Marta,mdp.39015034253990,1995,f,"Evans, Max,","Spinning sun, grinning moon : | novellas / | $c: Max Evans ; foreword by Robert J. Conley.",m,,1995,f,0
47235,nyp.33433075761761|Mrs.Shine,nyp.33433075761761,1919,f,"Turner, John Hastings,",Simple souls,m,,1919,f,0
70896,mdp.39015030947082|Mrs.Kapoor,mdp.39015030947082,1972,f,"Bond, Ruskin.",An axe for the rani.,m,,1972,f,0
10329,3848|MissSommerville,3848,1821,f,"Hogg, James,",Winter evening tales,m,,1821,f,0
46523,uc2.ark+=13960=t3pv6bg42|Mrs.Thompson,uc2.ark+=13960=t3pv6bg42,1917,f,"Brubaker, Howard,","Ranny, otherwise Randolph Harrington Dukes;",m,,1917,f,0
63481,mdp.39015016452883|Maria,mdp.39015016452883,1955,f,"Avery, Ira.",The five fathers of Pepi.,m,,1955,f,0
35734,6732|Mrs.Charmond,6732,1887,f,"Hardy, Thomas,",The woodlanders;,m,,1887,f,0
66281,uc1.b3727801|MissBeecher,uc1.b3727801,1967,f,"Robinson, Oliver.",I dream in Irish.,m,,1967,f,0
67094,uc1.$b285038|Louise,uc1.$b285038,1962,f,"Farrell, James T. (James Thomas),",Sound of a city.,m,,1962,f,0
51518,mdp.39015010235540|Katy,mdp.39015010235540,1929,f,"Brown, Leonard Stanley,","Modern American and British short stories, | $c: edited by Leonard Brown.",m,,1929,f,0
22124,8905|Mrs.Ingliss,8905,1854,f,"Simms, William Gilmore,","Katharine Walton; or, The rebel of Dorchester",m,,1854,f,0
43067,uc2.ark+=13960=t3bz62b7b|Mrs.Mavering,uc2.ark+=13960=t3bz62b7b,1901,f,"Colton, Arthur Willis,","""The debatable land""",m,,1901,f,0
