word,docfreq
was-detain,41
nice,41
following,41
reentered,41
wake,41
post,41
moods,40
reasons,40
was-befallen,40
astonished,40
attendants,40
horses,40
was-changed,40
interposed,40
was-awakened,40
was-pitied,40
cigar,40
message,40
fine,40
different,40
appointment,40
enjoying,40
finish,40
wedding,40
ai,40
was-ejaculated,40
was-mean,40
was-suffered,40
liberty,40
appears,40
excitement,40
basket,40
awaited,40
was-attend,40
thing,40
inclination,40
^,40
was-sending,40
worse,40
was-trusted,40
slow,40
encouraged,40
motive,40
blamed,40
thumb,40
repeat,40
paying,39
was-recognise,39
robe,39
enemies,39
observe,39
bread,39
was-assailed,39
teach,39
trousers,39
yield,39
obliged,39
rights,39
completed,39
happier,39
mission,39
teacher,39
blame,39
was-confined,39
was-attracted,39
reputation,39
was-regard,39
nervous,39
heir,39
prefer,39
arguments,39
lack,39
energy,39
wrung,39
was-loves,39
tastes,38
was-oppressed,38
was-believed,38
grabbed,38
was-greet,38
prevented,38
was-requested,38
was-finding,38
echoed,38
peered,38
approved,38
provided,38
train,38
deserves,38
expecting,38
hears,38
poor,38
was-place,38
down,38
danger,38
whole,38
toes,38
embrace,38
accused,38
startled,38
prisoner,38
agent,38
was-support,38
was-announced,38
endeavour,38
scheme,38
re,38
miserable,38
confinement,38
again,38
corner,38
believes,38
luck,38
singing,38
defence,38
eloquence,38
frightened,38
ejaculated,38
rejected,38
was-released,38
deceived,38
approaching,38
meal,38
eagerness,38
relatives,38
was-teach,38
was-terrified,38
was-catch,37
tasted,37
brave,37
neglected,37
moments,37
pity,37
jerked,37
was-introduce,37
past,37
pupils,37
was-deprived,37
despair,37
remembrance,37
narrative,37
preference,37
landed,37
lessons,37
dog,37
beard,37
inability,37
works,37
apologised,37
turns,37
library,37
fortunes,37
bringing,37
was-preferred,37
relinquished,37
schemes,37
j,37
undertook,37
struggling,37
indifferent,37
height,37
tail,37
wrath,37
was-say,37
refrain,37
acquainted,37
saddle,37
enough,37
recollect,37
clever,37
apprehensions,37
concern,37
worried,37
was-pay,37
congratulated,37
away,36
meditated,36
agree,36
forbear,36
was-suspected,36
bearing,36
entering,36
was-responded,36
tonight,36
connexion,36
tapped,36
sprung,36
procured,36
was-spared,36
whip,36
fire,36
jaw,36
was-buried,36
fastened,36
ability,36
busied,36
clapped,36
drop,36
lent,36
resigned,36
misfortunes,36
excuse,36
majesty,36
regiment,36
haste,36
relaxed,36
depart,36
hips,36
was-cost,36
resided,36
amazement,36
winced,36
was-relieve,36
alluded,36
quarters,36
wealth,36
mistake,36
dealt,36
cries,36
express,36
contempt,36
confession,36
song,36
acquiesced,36
roof,35
was-consider,35
introduction,35
repented,35
chooses,35
was-invite,35
washed,35
was-overpowered,35
ship,35
shrieked,35
commands,35
was-leading,35
was-approaching,35
charms,35
bid,35
was-amuse,35
was-destined,35
claims,35
arrive,35
represented,35
drinking,35
twisted,35
surroundings,35
wrists,35
gain,35
was-sighed,35
permission,35
release,35
design,35
angel,35
intend,35
discourse,35
shy,35
crouched,35
reflection,35
eyed,35
dreaming,35
associates,35
vexation,35
lighted,35
was-silenced,35
riding,35
qualities,35
sensed,35
pick,35
was-picked,35
that,35
relieved,35
labours,35
alarm,35
girls,35
vanished,35
dug,35
lesson,34
smelled,34
sleeves,34
bad,34
countrymen,34
was-explained,34
curious,34
ankles,34
interference,34
pursue,34
annoyed,34
notions,34
talks,34
cursed,34
was-perceived,34
was-grown,34
was-covered,34
yelled,34
was-aroused,34
beckoned,34
relation,34
heaved,34
displeasure,34
backed,34
race,34
was-reconciled,34
jealousy,34
capacity,34
hates,34
gift,34
practice,34
was-warn,34
unwilling,34
hatred,34
lift,34
arrangements,34
was-noticed,34
pause,34
spectacles,34
was-keeping,34
comfortable,34
sustained,33
was-win,33
was-congratulated,33
was-round,33
breathe,33
wardrobe,33
wheeled,33
'm,33
was-needed,33
suggestion,33
was-written,33
forgiven,33
was-agitated,33
title,33
lies,33
termed,33
delicacy,33
finding,33
mamma,33
was-muttered,33
was-shaken,33
hugged,33
brother-in-law,33
minutes,33
agony,33
persuade,33
established,33
disposed,33
stir,33
sits,33
was-swept,33
returns,33
was-conveyed,33
was-disposed,33
visitors,33
was-satisfy,33
relapsed,33
packed,33
betray,33
generous,33
sung,33
dined,33
was-read,33
approve,33
wise,33
was-involved,33
destination,33
annoyance,33
cottage,33
purchased,33
asserted,33
gotten,33
attached,33
refrained,33
merits,33
--,33
conquered,33
fists,33
kneeling,33
comprehend,33
clutched,33
mine,33
counsel,32
possessions,32
acceptance,32
comment,32
endeavouring,32
was-deceive,32
ridden,32
declaration,32
hailed,32
was-spare,32
treasure,32
