word,docfreq
was-sought,32
driver,32
uncomfortable,32
was-paralysed,32
grinning,32
eyelashes,32
post,32
tripped,32
clear,31
push,31
history,31
machine,31
veins,31
concentrate,31
wedding,31
was-support,31
wasted,31
stride,31
was-buried,31
movement,31
moments,31
student,31
tonight,31
collection,31
handsome,31
hesitate,31
fill,31
was-arrested,31
piece,31
fury,31
instincts,31
was-comforted,31
influence,31
servant,31
laughs,31
language,31
was-read,31
version,31
was-corrected,31
climb,31
background,31
proposal,31
sounds,31
was-chosen,31
was-fetch,31
confident,31
irritation,31
stockings,31
considering,31
intend,31
dance,31
entrance,31
reassured,31
was-trapped,31
was-attacked,31
team,31
excited,31
cane,31
assistant,31
was-teach,31
was-welcomed,31
was-push,30
reckoned,30
defence,30
loosened,30
honour,30
was-thrilled,30
spending,30
was-inform,30
stares,30
dealt,30
nervousness,30
was-drawing,30
shadow,30
writes,30
shows,30
sad,30
was-knowing,30
was-examined,30
was-studying,30
was-disgusted,30
attend,30
responsibility,30
couch,30
was-preoccupied,30
drawing,30
stalked,30
entertained,30
service,30
lot,30
smart,30
property,30
habits,30
hotel,30
fellow,30
hurry,30
launched,30
was-regarding,30
slippers,30
was-touching,30
thumbs,30
meals,30
dog,30
steered,30
claims,30
was-fired,29
judged,29
shout,29
swallow,29
climbing,29
whimpered,29
stiff,29
manners,29
leans,29
press,29
panting,29
was-threatened,29
spoon,29
lurched,29
rising,29
shaved,29
screams,29
news,29
was-caused,29
strike,29
spit,29
discomfort,29
dried,29
referring,29
dad,29
consent,29
pause,29
daughters,29
thank,29
boyfriend,29
peeled,29
unhappy,29
keys,29
towel,29
was-killing,29
was-is,29
was-written,29
thankful,29
was-embrace,29
was-murdered,29
requested,29
was-failed,29
reverie,29
facing,29
was-urging,29
consulted,29
heavy,29
amazement,29
stupid,29
sobbing,29
cigar,29
stir,29
hunger,29
prompted,29
field,29
irritated,29
wriggled,29
lipstick,29
out,29
brave,29
was-occupied,29
was-preferred,29
risked,29
was-use,29
belief,29
posture,29
tight,29
completed,29
kiss,29
lessons,29
was-carrying,29
blanket,28
puffed,28
burned,28
recover,28
shouts,28
suppressed,28
was-avoided,28
setting,28
bending,28
doubled,28
hooked,28
was-explained,28
authority,28
tray,28
ill,28
satisfied,28
basket,28
dancing,28
effort,28
humour,28
hitched,28
rush,28
land,28
cooking,28
perfume,28
lashes,28
desperate,28
was-awaited,28
description,28
distress,28
respected,28
spectacles,28
prayers,28
longing,28
discovery,28
departed,28
was-draw,28
respect,28
was-asks,28
bade,28
shock,28
opens,28
boarded,28
was-pay,28
ones,28
fastened,28
on,28
nice,28
confirmed,28
betrayed,28
choose,28
guy,28
argument,28
was-stayed,28
music,28
was-wrapped,27
freed,27
impression,27
protest,27
song,27
cracked,27
was-raised,27
contact,27
mistake,27
extracted,27
was-wished,27
sympathy,27
retrieved,27
benefit,27
crumpled,27
was-motioned,27
was-swept,27
was-serve,27
survive,27
endure,27
relax,27
expense,27
falling,27
bathed,27
tended,27
unfolded,27
was-torn,27
stays,27
station,27
impatient,27
blind,27
hovered,27
worries,27
secured,27
appealed,27
nurse,27
relations,27
forearms,27
charge,27
granted,27
displayed,27
pupils,27
eagerness,27
was-inspired,27
waits,27
lawyer,27
terror,27
was-blinded,27
was-telephoned,27
joked,27
practice,27
same,27
disappointed,27
was-dreamed,27
minded,27
was-surprise,27
support,27
detested,27
was-giving,27
clicked,27
skill,27
months,27
was-say,27
loathed,27
bunk,27
ticket,27
reasons,27
was-confront,27
disappear,27
fancied,27
lids,27
was-drag,27
bread,27
downed,27
big,27
imagining,27
appointment,27
was-infuriated,27
busied,27
outburst,26
was-aroused,26
yearned,26
snarled,26
training,26
pencil,26
stamped,26
annoyed,26
capacity,26
knowing,26
plays,26
dumped,26
hoisted,26
curls,26
agrees,26
moment,26
was-avoid,26
horror,26
fan,26
destiny,26
included,26
lonely,26
crotch,26
hostess,26
trudged,26
decides,26
was-disturb,26
stolen,26
lifts,26
bounced,26
sorrow,26
knock,26
inability,26
was-headed,26
front,26
concealed,26
conduct,26
adopted,26
rapped,26
cautioned,26
shuffled,26
was-tormented,26
was-eluded,26
travels,26
jaws,26
arrest,26
safety,26
was-bought,26
blamed,26
shoot,26
bearing,26
servants,26
was-encouraged,26
